pid,item,description,price,condition,dimension_w,dimension_l,dimension_h,img-file,quantity,category
101,Three Vintage Midcentury Stacking Bamboo Tables,"Three Vintage Midcentury Stacking Bamboo Tables. Featured in three shades of red, green, and a natural wood color.",330,very good,16,18,33,coffee-table-2,1,tables
103,Vintage Mid Century Teak Coffee Table,"A vintage Mid Century Teak Coffee table. Beautiful teak wood is the medium for this classy coffee table, it features a lower storage space, part cross beam, part wicker, a classic mid century design. This table would look great in any modern space.",900,very good,50,18,17,coffee-table-1,1,tables
104,Handcrafted Brayton Coupe Grande Club Chairs,Two handcrafted Brayton Coupe Grande Chairs with rivergrass upholstery. Brushed aluminum legs and foam cushions. One of the chairs has mechanism for a table/tray. Some fading to fabric.,1800,good,32,38,30,arm-chair-1,2,seating
102,Herman Miller Ray Wilkes Chiclet Lounge Chairs,"This is a Herman Miller-manufactured, Ray Wilkes-designed Chiclet Lounge Chair Upholstered in a lipstick wool blend fabric. The lounge was named because the individual pieces resemble large pieces of Chiclet gum.",850,very good,31,32,27,arm-chair-2,3,seating
105,Vintage Mid Century Modern Danish Teak Platform Bed,All teak construction. Two nightstands attached with two drawers and two recessed pulls each. Pull out under bed storage.,4900,very good,125,94,30,bed-frame-1,3,bedroom
106,Mid-Century Full Sized Bed Frame ,"This is a nice piece of vintage Heywood Wakefield furniture. Its in good Vintage condition, and features a Champagne finish. This bed is full sized for a regular double mattress. A great addition for a Retro furnished bedroom.",495,good,56,79,33,bed-frame-2,2,bedroom
116,Vintage Florence Knoll Walnut and Cane Credenza Buffet,Credenza constructed of walnut with sliding cane doors. Metal stick legs on glides. Leather pulls. This piece is built to last a lifetime - or several lifetimes.,9000,excellent,72,20,31,credenza-1,1,storage
125,Founders Orange Lacquer Credenza,Expressive graffiti special edition credenza. Four Drawers. Metal Legs and Trim. Metal Drawer Pulls.,4200,very good,65,18,29,credenza-2,0,storage
222,Regency Writing R Way Cherry Wood Brass Desk,Brass pulls and caps. Originally sold and distributed from Northern Furniture Company in 1916.,2800,good,60,28,31,home-desk-1,1,desks
201,Mid Century Modern Adjustable Desk,Red laminate surface. Adjustable height. Steel legs with roller wheels.,750,average,36,24,,side-desk-1,2,desks
344,Round White Granite Top and Chrome Base Dining Table,Round Green Granite Top with 4 star polished chrome base. Granite is 1.5” thick with knife edge.,1900,very good,54,54,30,dining-table-1,1,tables
473,Oval Green Granite Top and Steel Base Dining Table,Vintage dining table with granite top and steel base in the style of Paul McCobb.,2700,excellent,68,42,32,dining-table-2,2,tables
293,Saarinen Knoll Tulip Base Maple Dining Table,"This classic design of Eero Saarinen is one that has endured through the years Originally designed in 1956. Top is maple with beveled edge. Base is 
heavy molded cast aluminum strap-polished and coated in tough abrasion-resistant finish. Base color is white.",3200,excellent,42,42,32,dining-table-3,2,tables
256,Executive Cabinet in the Manner of Scott Thomas,"Oak construction and stainless steel polished frame. New marble top. 
3 Drawers on the left side and one cabinet door with interior adjustable shelf on the right side. Pulls are solid stainless steel. Back is finished.",1350,very good,40,20,25,dresser-1,2,storage
217,Art Deco Hamilton Donald Deskey Walnut Dental Cabinet,"Unique vintage medical freestanding American Art Deco step back dental supply cabinet manufactured by the Hamilton Cabinet Co., Two Rivers, WI. The original walnut wood with varnished finish is intact; top cabinet features a single hinged door and super streamlined metal handle pull. ",2700,very good,52,18,40,dresser-2,0,storage
345,Wrought Iron Tree Rod Floor Lamp,"Distinctive sinuous design of intertwined tendrils of wrought iron. Perfect for use in any foyer or hallway, can also double as a coat tree.",1170,good,32,32,67,lighting-1,3,miscellaneous
376,Vintage Floor Lamp by George Kovacs,USA Circa: 1960`s. This lamp features a black weighted base with chrome and white enameled iconic cube shade. The shade is directional and rotates 360 degrees and pivots up and down.,1725,very good,10,48,50,lighting-2,5,miscellaneous
308,Vintage Mid Century Scandinavian Black Lounge Chair,Post-war scandinavian style lounge chiair with wood base and leather upholstery. Chair consists of two adjacent pads. Ottoman of like kind included.,500,very good,25,30,18,lounge-chair-1,3,seating
397,Herman Miller Eames Lounge Chair,"Considered one of the most significant and widely recognized furniture designs of the 20th century, the Eames lounge chair and ottoman set an enduring standard for comfort and elegance. Lounge with tufed black leather, rosewood molded wood shell 5-star black & polished aluminum base & back braces",7500,very good,32,32,36,lounge-chair-2,1,seating
397,Herman Miller Office Chair,Swiveling aluminum base and Frame. Green leather upholstery with deep cushions.,340,average,28,30,29,office-chair-1,1,seating
125,Vintage Outdoor Folding Chair,Green fabric seat and back. Wooden frame ,250,good,24,26,26,outdoor-chair-1,0,seating
354,Richard Schultz Designed Knoll Patio Metal Square Table,Patio dining patio table designed by Richard Schultz and manufactured by Knoll for the 1966 Collection. Table has the rarely seen and discontinued yellow enamel top and white coated aluminum base that has been refinished,1850,good,38,38,26,outdoor-table-1,2,seating
329,Vintage Italian Style Wire Chair,Airy silhouette. The seat is made of cross-woven wires and positioned on a bent-wire. Seat and base are chrome finish. Sturdy lightweight Design Multipurpose. Adds artistic interest--and functional seating--to residences and workplaces alike.  Red form cushion with leather upholsery.,690,excellent,23,25,29,side-chair-1,6,seating
283,Eero Saarinen Executive Arm Chair for Knoll,This chair was first introduced in 1957 and won the Federal Award for Industrial Design in 1969. These chairs are in good condition and will make a great addition to any modern home or office. Dotted red fabric upholstery with chrome steel legs.,1100,good,26,24,31.5,side-chair-2,2,seating
373,Orange Laquer Eames Shell Chair,"Eames for Herman Miller painted with an orange front and a electric blue back with orange flecks, with an off-center stripe of black ""Tags"" . This chic chair would make a great conversation piece for a hip space. ",550,excellent,19,22,32,side-chair-3,1,seating
342,Ligne Roset GUEST Dining Arm Chair,"Sits on four molded polished aluminum feet, which are rubber-tipped so as not to scratch delicate flooring. The seat & back have a metal frame, with springs inset into a core of injected anti-combustion polyether foam. Fabric covers may be easily removed for dry cleaning.",880,very good,27,24,31,side-chair-4,0,seating
214,Scandinavian Vintage Night Stands,"Wood construction, tapered legs with caps. Block design. Ridge-grip handle pulls ",320,good,19,16,22,night-stand-1,2,bedroom
310,Art Deco Dark-Chrome Three Seater Sofa,Slate blue color vinyl upholstery on tubular-wire dark chrome frame.,1600,average,56,28,35,sofa-1,2,seating
210,Knoll Hannah Morrison Home Theater Tandem Seating Sofa ,Fully Restored Four-Seat Theater Seating is Great For That Modern Surround Sound Entertainment Room. Professionally Reupholstered leather. Polished Aluminum Frame,2930,good,98,28,27,sofa-2,1,seating
191,Florence Knoll Brown Leather Sofa,"A Midcentury Knoll couch designed by Florence Knoll. This three person sofa features a tufted, light brown leather upholstery that looks like suede with chrome plated steel legs. This classic design is perfect for any modern space.",8500,excellent,90,35,32,sofa-3,3,seating
369,Teak Two Tier Serving Tea Cart Trolley by Remploy,Teak construction two-tier serving trolley with casters. Manufactured by Remploy UK in 1960’s.,500,excellent,18,30,27,serving-table-1,4,tables
127,Large Safco Metal Bar Serving Cart,"Large Metal Bar Serving Cart on Casters. Metal cabinet on casters
Locking doors with key. Casters create easy mobility.",200,average,33,22,44,serving-table-2,2,tables
167,Heywood Wakefield M778 Sculptura Night Stands,"These Night Stands feature a stylish Wheat finish and sculptural look. A timeless and stylish design. A great example of classic Heywood Wakefield style and substance, perfect for a home or office. Price is for each nightstand.",520,good,20,16,24,night-stand-2,4,bedroom
279,McGuire Night Stand,Vintage McGuire light wheat color wooden night stands. Each night stand has 2 drawers.,1200,very good,18,19,23,night-stand-3,2,bedroom
280,Paper Mache Hand Made Male Figure Sculpture,"Paper-mache, is a composite material consisting of paper pieces or pulp, sometimes reinforced with textiles, bound with an adhesive, such as glue, starch, or wallpaper paste. Sculpture is a male figure with hat. ",250,very good,10,10,25,art-1,1,miscellaneous
332,Impressionist Impasto Painting; signed Parvin,Distinctive impressionist impasto painting of a young girl or woman in a traditional burka set in a courtyard with foliage and potted plants. Very vivid colors. Signed Parvin.,400,very good,25,0,32,art-2,1,miscellaneous
304,Heywood Wakefield M197G Butterfly Dining Table,"Most popular table with butterfly supports for drop leaves. 
Heywood- Wakefield`s top-of- the -line table and their longest table when fully opened.  It has three boomerang legs and wing-supported drop leaves make it an unparalleled example of 1950s design. This table can be used against the wall with one leaf dropped. ",2200,excellent,76,58,29,dining-table-4,2,tables
154,Vintage Steel Tanker Desk by Steelcase,"Vintage steel tanker desk by Steelcase, USA. Heavy gauge steel. Two separate banks, one with three different drawers and the other with a drawer and a filing cabinet. Both sides have pull-out writing surfaces. A middle drawer has both a lock mechanism and is segmented for arranging pens, pencils and other office necessities. Sturdy, classic, and reliable.",400,average,60,31,30,office-desk-1,1,desks
198,Vintage Ebonized Florence Knoll Table,"Vintage ebonized walnut Florence Knoll square side table for Knoll Associates. Base is made of chrome-plated steel. Classic, clean lines that compliment any modern space",700,very good,27,27,17,side-table-1,3,tables
284,Italian Solid Plank Walnut Corner End Table,"Slim, strong structure with functional surface. Three tapered legs. Lines and simplicity of design with a modern European influence.",400,good,22,30,18,side-table-2,1,tables
198,Vintage Ebonized Florence Knoll Table,"Vintage ebonized walnut Florence Knoll square side table for Knoll Associates. Base is made of chrome-plated steel. Classic, clean lines that compliment any modern space",700,very good,27,27,17,side-table-1,3,tables
165,Mid Century Walnut Chrome Side Table,"Walnut finish, chrome legs",300,average,25,25,20,side-table-3,0,tables
